Ticker,HitRate,AvgReturn,TotalReturn,MaxDrawdown
CEG,0.30833333333333335,0.002612388151356464,0.624360768174195,0.15830641302942314
CZR,0.26322751322751325,0.002147128648862685,1.6210821298913272,0.26995582039300636
NCLH,0.2261904761904762,0.0019131563282034762,1.4444330277936246,0.4175280814786331
TSLA,0.28174603174603174,0.0014350768861032626,1.0834830490079632,0.3896802311982823
CRWD,0.28703703703703703,0.0013927595123842033,1.0515334318500735,0.4796833391423527
EQT,0.24603174603174602,0.0013466122500731504,1.0166922488052286,0.288258662077334
XYZ,0.25132275132275134,0.0012559775128193479,0.9482630221786077,0.3090715040761657
SMCI,0.2791005291005291,0.0012011336959296256,0.9068559404268673,0.24393095241692064
MRNA,0.23412698412698413,0.0011482847742012433,0.8669550045219387,0.4317741050770579
APA,0.26587301587301587,0.0010970356207425154,0.8282618936605991,0.4391073085277217
FANG,0.2724867724867725,0.0010969404487533127,0.8281900388087512,0.42654922656553484
TRGP,0.2804232804232804,0.001058158771063425,0.7989098721528859,0.4401378012975923
VTR,0.2698412698412698,0.0010199999873497152,0.770099990449035,0.34849014399415024
OXY,0.23677248677248677,0.0009517084015244846,0.7185398431509858,0.37930903550412265
UAL,0.23015873015873015,0.0009499174342099822,0.7171876628285365,0.3246917610401133
STZ,0.28703703703703703,0.0009305767114756998,0.7025854171641533,0.10052172386754898
FSLR,0.2552910052910053,0.0009189738622259466,0.6938252659805897,0.24477529069613563
TTD,0.2804232804232804,0.0008876400612434613,0.6701682462388133,0.2837900259054279
DELL,0.24206349206349206,0.0008580366603643095,0.6478176785750537,0.1857839990407415
DVN,0.25925925925925924,0.0008453659459207605,0.6382512891701742,0.21994706136761172
SPG,0.2619047619047619,0.0008411400049847843,0.6350607037635121,0.24578596441449985
PFG,0.2671957671957672,0.0008408245772052445,0.6348225557899596,0.16046387960455988
IRM,0.2751322751322751,0.0008307673078971563,0.627229317462353,0.12938516264581046
PANW,0.27116402116402116,0.0008230274315217637,0.6213857107989316,0.17255486276173515
PARA,0.2526455026455027,0.0007984237904447174,0.6028099617857616,0.5545957745476041
RCL,0.21296296296296297,0.0007851293163887399,0.5927726338734987,0.24824760458137196
AXON,0.28835978835978837,0.0007845784780838327,0.5923567509532937,0.2581363728841936
AME,0.2962962962962963,0.0007678727337433024,0.5797439139761933,0.1166450050251367
BKR,0.25132275132275134,0.0007454709146395367,0.5628305405528502,0.335565954961078
CAT,0.2777777777777778,0.0007319580099607675,0.5526282975203795,0.12152639092747097
CRL,0.2526455026455027,0.0007285969949122814,0.5500907311587725,0.15155914168744544
EBAY,0.2552910052910053,0.0007207974164534838,0.5442020494223803,0.19621814127651993
CI,0.2605820105820106,0.0007007002461118134,0.5290286858144191,0.14567851419624034
WYNN,0.21031746031746032,0.0006869152321426702,0.518621000267716,0.23911156383623078
DECK,0.2777777777777778,0.0006841032802024075,0.5164979765528177,0.41272843053156083
PAYC,0.2751322751322751,0.0006701377501997475,0.5059540014008094,0.2894685408995756
WAB,0.26322751322751325,0.0006642667667768237,0.5015214089165019,0.10295986237260751
GEHC,0.18181818181818182,0.000655178448199,0.00655178448199,0.0
URI,0.2791005291005291,0.0006434537161407599,0.4858075556862737,0.1591248133208788
MGM,0.23148148148148148,0.000636287362579279,0.48039695874735566,0.30725841216515654
HAL,0.23412698412698413,0.0006356631674356923,0.47992569141394775,0.2893602447282471
AJG,0.30423280423280424,0.0006320749707265618,0.47721660289855417,0.13222877138697964
PM,0.2896825396825397,0.0006294662717370906,0.4752470351615034,0.07191541541037091
WELL,0.24867724867724866,0.0006249878604477473,0.4718658346380492,0.36788550543311066
FFIV,0.24867724867724866,0.0006189377906523921,0.46729803194255604,0.225232695372179
AIG,0.26587301587301587,0.0006092947938820659,0.4600175693809597,0.3156050631164627
TGT,0.27380952380952384,0.0006090891248943856,0.4598622892952611,0.1994089934883081
HLT,0.25132275132275134,0.0006001136847625255,0.4530858319957068,0.14601186234675284
FTNT,0.2896825396825397,0.0005955585130414792,0.44964667734631686,0.26191704417843037
HII,0.25925925925925924,0.0005926639861585277,0.4474613095496884,0.07420956313220689
XOM,0.27116402116402116,0.0005904836986748219,0.44581519249949053,0.2055476872320876
WRB,0.27116402116402116,0.0005855298687023933,0.44207505087030696,0.13667201836302945
LH,0.2791005291005291,0.000584828690853589,0.4415456615944597,0.1649433335661129
COP,0.2605820105820106,0.0005840424648144176,0.4409520609348853,0.24215926088499098
IT,0.2791005291005291,0.0005688167552418133,0.429456650207569,0.2905111178905396
TAP,0.2804232804232804,0.000560786008463883,0.4233934363902317,0.14572354219700034
ADM,0.28835978835978837,0.00055718101480434,0.42067166617727664,0.1562357589909934
COO,0.2619047619047619,0.0005567946788592325,0.42037998253872055,0.10560648868541711
UBER,0.23544973544973544,0.0005486111024472727,0.41420138234769094,0.3896344540226216
CVS,0.25396825396825395,0.0005466545988068242,0.41272422209915227,0.17300201094997691
MOS,0.26851851851851855,0.0005422107960471065,0.4093691510155654,0.4547747521161977
ENPH,0.29365079365079366,0.0005402218977359453,0.4078675327906387,0.65262189321447
NRG,0.26322751322751325,0.0005368542661669713,0.40532497095606335,0.12913101089792217
LYB,0.2526455026455027,0.0005331746832951118,0.40254688588780935,0.22283258996723038
WY,0.26851851851851855,0.0005331552919780655,0.40253224544343946,0.26545599130064823
KR,0.2698412698412698,0.0005313189461634076,0.40114580435337277,0.1593705763918091
O,0.2857142857142857,0.0005239354548369709,0.39557126840191303,0.16611397040933196
TT,0.28835978835978837,0.0005112634282071939,0.3860038882964314,0.24552661015098362
MAR,0.25396825396825395,0.0005097495389044595,0.3848609018728669,0.16112955432750486
SYY,0.23809523809523808,0.0005063912282769395,0.38232537734908933,0.3395909342745878
ACGL,0.27645502645502645,0.0005055698773719548,0.3817052574158259,0.2419306243243199
CPRT,0.26587301587301587,0.0004955238456233931,0.37412050344566183,0.1466306445270571
SLB,0.24735449735449735,0.0004908844560314635,0.3706177643037549,0.3348120087892959
GM,0.23809523809523808,0.0004897938327920443,0.36979434375799347,0.31667571388476873
JNJ,0.2605820105820106,0.00048697460434416574,0.3676658262798451,0.05742218461535359
DRI,0.24603174603174602,0.00048536337613754455,0.3664493489838461,0.2897275376797263
CVX,0.2777777777777778,0.000482422483041503,0.36422897469633475,0.22829181886970784
ARE,0.2777777777777778,0.00047950196699877317,0.36202398508407374,0.09630384503090719
BX,0.29365079365079366,0.0004789960320347464,0.36164200418623355,0.46723418787226295
LW,0.2605820105820106,0.00047257990875057836,0.35679783110668667,0.42653293424816724
PTC,0.2698412698412698,0.00046749900866367933,0.3529617515410779,0.1969869749982883
MCK,0.28835978835978837,0.00046651218772797404,0.3522167017346204,0.12323590991845579
EW,0.27645502645502645,0.0004634814558613117,0.34992849917529034,0.1334236768992815
C,0.2275132275132275,0.0004607821607993866,0.3478905314035369,0.16023714097145275
BMY,0.2619047619047619,0.00046040246291707333,0.34760385950239037,0.11138736809705735
PCG,0.23148148148148148,0.00045572686067400954,0.3440737798088772,0.26351241238856615
BA,0.2156084656084656,0.000450615763115538,0.3402149011522312,0.3219163255708401
DXCM,0.2791005291005291,0.00045003594521603657,0.3397771386381076,0.3096969239370028
INVH,0.22883597883597884,0.00044908178437689996,0.33905674720455947,0.16075007512082207
XYL,0.25925925925925924,0.00044125187992431617,0.3331451693428587,0.11379074160919142
DG,0.2526455026455027,0.00043799283596141267,0.33068459115086657,0.12093289552716188
CRM,0.25793650793650796,0.0004373099057141123,0.3301689788141548,0.2174025130344439
BLDR,0.2830687830687831,0.00043586286911780417,0.32907646618394215,0.31590019725058033
CAH,0.2698412698412698,0.00043525768607950336,0.32861955299002504,0.20881903277463082
JPM,0.23941798941798942,0.0004347485856717142,0.3282351821821442,0.1532065436474715
SRE,0.27380952380952384,0.0004338926465959512,0.32758894817994316,0.2000965485555946
F,0.2222222222222222,0.0004254765735891673,0.3212348130598213,0.26897336089231116
LLY,0.27116402116402116,0.00042247766577385113,0.3189706376592576,0.2181391874223912
HST,0.2447089947089947,0.0004216334688440085,0.3183332689772264,0.2718205742191719
CLX,0.2804232804232804,0.0004215599284027748,0.31827774594409497,0.15692344562427843
PLTR,0.23591549295774647,0.00040979783171685787,0.2323553705834584,0.5616196254712298
CARR,0.27311522048364156,0.0004092962460801892,0.2873259647482928,0.21450572889537523
VTRS,0.2156084656084656,0.00040700246503796083,0.30728686110366044,0.16900811531965906
LDOS,0.2698412698412698,0.0004045667512196642,0.30544789717084647,0.13388441223587377
MET,0.26455026455026454,0.00040130695452310995,0.302986750664948,0.23342352096133553
IFF,0.23809523809523808,0.0003948666002890086,0.2981242832182015,0.2129568616514762
CF,0.2619047619047619,0.00039426045963805045,0.29766664702672807,0.29328256459922486
HOLX,0.2605820105820106,0.00039213443456771014,0.29606149809862115,0.1642771241928742
PCAR,0.2671957671957672,0.00038970366507403445,0.294226267130896,0.16280498829148332
NUE,0.2724867724867725,0.0003891635311448952,0.2938184660143959,0.2895718394256699
DDOG,0.26322751322751325,0.00038574801763415606,0.2912397533137878,0.4191411403153211
RJF,0.27645502645502645,0.0003843867608987435,0.29021200447855133,0.2055598871302975
MO,0.2896825396825397,0.00038197885363505765,0.28839403449446854,0.11350367718242814
CTVA,0.26851851851851855,0.0003812832148546852,0.28786882721528734,0.13250307928576832
ODFL,0.2923280423280423,0.00038072428373339164,0.2874468342187107,0.24529862423743803
USB,0.24206349206349206,0.0003798747433601752,0.2868054312369323,0.18962980870971732
DLTR,0.24074074074074073,0.00037694387438930995,0.284592625163929,0.2239638795726003
AZO,0.2777777777777778,0.00037583923229714944,0.28375862038434785,0.1114570764104959
CMG,0.25793650793650796,0.0003755293220399947,0.283524638140196,0.1456889885026958
TPL,0.26322751322751325,0.0003745053920088871,0.2827515709667098,0.5335301751802214
AMT,0.25793650793650796,0.00037135551083259836,0.28037341067861177,0.18783233986508213
HON,0.28174603174603174,0.0003679852402362828,0.2778288563783935,0.2131490685058623
LIN,0.25925925925925924,0.00036777356116661074,0.2776690386807911,0.15858026761744876
CB,0.24735449735449735,0.0003657786002907388,0.2761628432195078,0.17245541587079355
HSY,0.2619047619047619,0.0003655513932966198,0.27599130193894794,0.09176890824024075
COST,0.28703703703703703,0.00036386736094689686,0.27471985751490713,0.14277998244130502
LOW,0.30158730158730157,0.00036286891393823376,0.2739660300233665,0.32152891375825776
ORLY,0.2843915343915344,0.000362150338708407,0.2734235057248473,0.1041022542199573
VICI,0.25793650793650796,0.00035973920231098186,0.2716030977447913,0.16966087938004915
EQR,0.2261904761904762,0.0003560081787697324,0.268786174971148,0.14511997840493684
PWR,0.27645502645502645,0.0003558801259279309,0.2686894950755878,0.2230091323974362
AES,0.2698412698412698,0.00035542667172823174,0.26834713715481495,0.3037057453658132
MNST,0.2605820105820106,0.0003520462107034932,0.26579488908113735,0.12605172135570913
CTRA,0.25,0.0003445679700307573,0.26014881737322176,0.4073154007615112
FCX,0.23412698412698413,0.00034350725279773566,0.2593479758622904,0.41321399526142716
RSG,0.294973544973545,0.00033477052588720127,0.25275174704483694,0.1101586656182223
T,0.2447089947089947,0.00033087897531517395,0.24981362636295634,0.1686537868473006
MLM,0.23941798941798942,0.0003264672718214003,0.24648279022515723,0.23127858525018985
SNA,0.26455026455026454,0.0003260567704919226,0.24617286172140157,0.12995534441592993
CPT,0.2843915343915344,0.0003248818241932444,0.24528577726589954,0.2008508423245981
APD,0.2619047619047619,0.0003241451450036734,0.24472958447777343,0.29291423100368186
LULU,0.2698412698412698,0.0003216517147926818,0.24284704466847476,0.29099768602380993
EPAM,0.2698412698412698,0.0003173404933666238,0.23959207249180098,0.3033260292508364
MSI,0.26322751322751325,0.00031638145517350654,0.23886799865599742,0.21742585159568623
ON,0.2751322751322751,0.0003153842782085109,0.23811513004742574,0.5352568777658905
BRO,0.30952380952380953,0.0003137330943609178,0.23686848624249296,0.2214899927022468
RVTY,0.291005291005291,0.00030911014992647236,0.23337816319448662,0.2652159171785816
PSA,0.2857142857142857,0.00030294512306193623,0.22872356791176185,0.15014992372180974
DVA,0.2698412698412698,0.00030292638687355567,0.22870942208953454,0.14788468508470037
HUM,0.25396825396825395,0.00030153154139320973,0.22765631375187334,0.19943870351176735
EXE,0.27044025157232704,0.00030133429472897674,0.14343512429099292,0.23586583497744423
PGR,0.2671957671957672,0.00030130838218469017,0.22748782854944108,0.10808422568838333
WMB,0.2777777777777778,0.0003010018582326232,0.22725640296563054,0.24706102632166815
AMZN,0.2671957671957672,0.00030058815660936156,0.22694405824006797,0.3198535794954106
MS,0.26587301587301587,0.0003002931018069613,0.22672129186425577,0.13612222834590704
A,0.28703703703703703,0.00029898667548912465,0.2257349399942891,0.12981498828120291
PFE,0.22354497354497355,0.00029589400191815834,0.22339997144820953,0.1301693984345028
UDR,0.27645502645502645,0.00029485919195650035,0.22261868992715775,0.24390855930156674
FE,0.2976190476190476,0.0002938473827837095,0.22185477400170067,0.13814828978145757
NTAP,0.2791005291005291,0.0002936153967675301,0.22167962455948526,0.24474482708044543
APO,0.26322751322751325,0.0002913994333747727,0.2200065721979534,0.32301420822573784
NDAQ,0.2724867724867725,0.00028905233382832375,0.2182345120403844,0.09977890556763092
UHS,0.25396825396825395,0.0002845886459134061,0.2148644276646216,0.17621255947905537
DHR,0.28703703703703703,0.00028310765746468664,0.21374628138583843,0.15268043543093224
TDG,0.27380952380952384,0.00027923707009808077,0.210823987924051,0.23517987459699202
EG,0.26587301587301587,0.0002787387536538132,0.21044775900862894,0.15088345412773965
EXPE,0.24206349206349206,0.0002768759416158984,0.2090413359200033,0.5768213864373217
FDX,0.2671957671957672,0.00027394630585458163,0.20682946092020915,0.3436693265046773
ISRG,0.2962962962962963,0.00026916587752539206,0.203220237531671,0.2581649297916378
AVB,0.25793650793650796,0.0002684077645605216,0.20264786224319378,0.16922097116937962
KO,0.2896825396825397,0.00026805901792460805,0.20238455853307907,0.1296711944063615
AWK,0.2830687830687831,0.0002656070505742886,0.20053332318358788,0.19718243421136744
DGX,0.29894179894179895,0.00026354088132208095,0.19897336539817112,0.20066152204268248
KLAC,0.2605820105820106,0.00026113030627521714,0.19715338123778894,0.3037376521454665
PODD,0.2791005291005291,0.0002610087114881551,0.19706157717355707,0.21768173785694933
REG,0.24603174603174602,0.00026062253549366445,0.19677001429771668,0.3016571341513896
DD,0.2447089947089947,0.00026044674995833546,0.19663729621854328,0.3010614077779303
MSCI,0.28174603174603174,0.00025905785456537315,0.1955886801968567,0.22691407265292918
EXR,0.2804232804232804,0.0002567619261712611,0.1938552542593021,0.30128130359045713
BAC,0.2566137566137566,0.00025411925980835405,0.1918600411553073,0.17351197836797047
ALLE,0.2619047619047619,0.00025300432985461355,0.19101826904023322,0.22605198407756041
AXP,0.26322751322751325,0.00025220573827336874,0.19041533239639338,0.14198998336163635
WSM,0.2923280423280423,0.00024919619503243695,0.1881431272494899,0.554028083820719
ROL,0.2724867724867725,0.0002482750846238614,0.18744768889101537,0.15309420381369312
UNH,0.2804232804232804,0.00024649179954084005,0.18610130865333424,0.1312569511124235
ROK,0.2619047619047619,0.0002443358942431652,0.1844736001535897,0.16806053631172246
ALB,0.2896825396825397,0.00024248773425853028,0.18307823936519035,0.2810127473380225
DE,0.27380952380952384,0.0002421844790053528,0.18284928164904135,0.1568420586254644
PH,0.2447089947089947,0.00023773933515324123,0.17949319804069713,0.1497794789502056
GNRC,0.25132275132275134,0.00023657404836584066,0.1786134065162097,0.46400370463652707
MRK,0.25,0.00023549617320851112,0.1777996107724259,0.07290870986639549
AEP,0.2962962962962963,0.00023303562268881808,0.17594189513005765,0.19624471546682262
NEE,0.2724867724867725,0.00022910868242631644,0.1729770552318689,0.18406207284443069
MCD,0.25,0.0002262784758865151,0.1708402492943189,0.1085559812356563
MKTX,0.2261904761904762,0.00022323990305137957,0.16854612680379158,0.29920082097415346
CTAS,0.28703703703703703,0.00022277182030136942,0.1681927243275339,0.17430735863281882
WAT,0.2566137566137566,0.00022139538765918824,0.16715351768268713,0.25295842979705013
DLR,0.26455026455026454,0.00021750153157575362,0.16421365633969398,0.20464002028043532
HRL,0.27645502645502645,0.00021101223903860117,0.1593142404741439,0.15000239675727806
CNP,0.27380952380952384,0.00021018827012335897,0.15869214394313602,0.30157531698838297
AMP,0.26322751322751325,0.00020930427340234485,0.15802472641877036,0.30918113199213343
TER,0.24603174603174602,0.00020757725546311523,0.156720827874652,0.26299325730355655
STE,0.27116402116402116,0.00020746735620312326,0.15663785393335805,0.19411791226758507
FICO,0.26322751322751325,0.00020745907862011946,0.15663160435819018,0.38179307800490514
BG,0.291005291005291,0.0002051628715386053,0.154897968011647,0.2149261595165166
LII,0.25132275132275134,0.00020247072671589683,0.1528653986705021,0.23379879113553148
GS,0.24603174603174602,0.00020231652167180774,0.15274897386221484,0.16179095748850436
WDAY,0.2698412698412698,0.0002020573570302565,0.15255330455784366,0.43287366281414763
HSIC,0.2671957671957672,0.0002019005764802974,0.15243493524262453,0.12482441074506259
FDS,0.2976190476190476,0.00020057830770270647,0.1514366223155434,0.3466717252130283
APTV,0.25132275132275134,0.0001991347399822701,0.15034672868661392,0.34455639434896196
CHRW,0.28174603174603174,0.00019694989280901986,0.14869716907081,0.16221355340371796
FAST,0.28174603174603174,0.000194075575701654,0.14652705965474877,0.14125141600340324
PHM,0.26851851851851855,0.000191127657553199,0.14430138145266524,0.43092296435210686
TRMB,0.25396825396825395,0.00018920508736048686,0.14284984095716757,0.26625965617527836
WM,0.29365079365079366,0.0001873958345258023,0.14148385506698075,0.126467254906573
BKNG,0.25132275132275134,0.00018736542745880928,0.141460897731401,0.3297363307343095
PPL,0.2526455026455027,0.00018360225259138042,0.1386197007064922,0.2424755200259489
WFC,0.23544973544973544,0.000181476394798641,0.13701467807297396,0.20558741583454063
IPG,0.2605820105820106,0.00017912034148939645,0.13523585782449432,0.43523217706240835
NVDA,0.2843915343915344,0.00017867258630376568,0.1348978026593431,0.2856106784541858
TDY,0.28703703703703703,0.0001783541189886096,0.13465735983640026,0.22899121799205988
CSGP,0.2328042328042328,0.00017575395793793536,0.1326942382431412,0.22720294269943675
AAPL,0.24867724867724866,0.00017482582519059596,0.13199349801889995,0.2963744980975417
RL,0.2698412698412698,0.00017446921498160314,0.13172425731111037,0.22254173539973027
MA,0.25925925925925924,0.000172748371566477,0.13042502053269012,0.1893844676375205
YUM,0.2804232804232804,0.0001705006859251405,0.12872801787348107,0.1186577276944103
OKE,0.2619047619047619,0.00016942311660784906,0.12791445303892604,0.2945790610225087
ATO,0.2698412698412698,0.00016889724175448098,0.12751741752463314,0.1774140495934148
LRCX,0.24867724867724866,0.00016848482539948912,0.1272060431766143,0.35098199609499586
ESS,0.2724867724867725,0.00016804494127250263,0.1268739306607395,0.27397983406523185
ANET,0.2552910052910053,0.00016738580627731234,0.12637628373937082,0.20144197100946282
GDDY,0.25396825396825395,0.00016734650930453097,0.12634661452492088,0.20522703775193948
BXP,0.24206349206349206,0.00016621735619174615,0.12549410392476834,0.20932597021528787
IQV,0.2671957671957672,0.0001634332622337228,0.12339211298646072,0.15567881882804985
JBL,0.26587301587301587,0.00016221359238974316,0.12247126225425609,0.33985163109198757
CCL,0.20502645502645503,0.0001593124033330428,0.12028086451644732,0.46245987804370736
INTU,0.2777777777777778,0.00015918263010706354,0.12018288573083297,0.2974165320600076
NWSA,0.2552910052910053,0.0001571418661470844,0.11864210894104874,0.3620872213185801
TYL,0.25132275132275134,0.00015619035506394201,0.11792371807327623,0.16780919986011872
ABNB,0.22393822393822393,0.00015497097122168206,0.08011999212160963,0.18078217512594974
ED,0.2724867724867725,0.0001548806011730166,0.11693485388562752,0.17819523232508128
PNR,0.2698412698412698,0.00015470620194338642,0.11680318246725674,0.35146181199389553
EFX,0.26851851851851855,0.00015401674805828294,0.11628264478400363,0.3569117353711161
UPS,0.25925925925925924,0.00015013689332369736,0.11335335445939151,0.19492662166993802
GL,0.2526455026455027,0.00014830437432412772,0.11196980261471644,0.21687375279870375
ETN,0.2566137566137566,0.00014816109502074245,0.11186162674066055,0.26383158240191706
DIS,0.20634920634920634,0.000147978649777246,0.11172388058182074,0.17424467639729413
